Ticker,MarketRows,MatchedArticles,NewsDays,RelevantArticles,YearsCovered,StrongEvents,EventConcentration,CoverageScore,CoverageLabel
AAPL,2936,352,113,386.0,1.0,63.0,0.11688311688311688,72.8,MODERATE
ADBE,2936,0,0,0.0,0.0,0.0,0.0,0.0,INSUFFICIENT
AMAT,2936,0,0,0.0,0.0,0.0,0.0,0.0,INSUFFICIENT
AMD,2936,280,104,319.0,2.0,43.0,0.07977736549165121,71.3,MODERATE
AMZN,2936,622,122,667.0,1.0,72.0,0.13358070500927643,75.3,GOOD
AVGO,2936,71,54,76.0,1.0,18.0,0.03339517625231911,37.7,INSUFFICIENT
CRM,2936,0,0,0.0,0.0,0.0,0.0,0.0,INSUFFICIENT
CSCO,2936,0,0,0.0,0.0,0.0,0.0,0.0,INSUFFICIENT
GOOGL,2936,574,131,651.0,2.0,57.0,0.10575139146567718,81.8,GOOD
IBM,2936,0,0,0.0,0.0,0.0,0.0,0.0,INSUFFICIENT
INTC,2936,0,0,0.0,0.0,0.0,0.0,0.0,INSUFFICIENT
META,2936,419,127,479.0,2.0,68.0,0.1261595547309833,81.2,GOOD
MSFT,2936,792,138,860.0,2.0,67.0,0.12430426716141002,83.0,GOOD
MU,2936,0,0,0.0,0.0,0.0,0.0,0.0,INSUFFICIENT
NOW,2936,0,0,0.0,0.0,0.0,0.0,0.0,INSUFFICIENT
NVDA,2936,455,117,512.0,2.0,53.0,0.09833024118738404,79.5,GOOD
ORCL,2936,119,76,125.0,1.0,29.0,0.05380333951762523,47.0,INSUFFICIENT
QCOM,2936,0,0,0.0,0.0,0.0,0.0,0.0,INSUFFICIENT
TSLA,2936,353,116,380.0,1.0,69.0,0.1280148423005566,72.8,MODERATE
TXN,2936,0,0,0.0,0.0,0.0,0.0,0.0,INSUFFICIENT
