EventType,Offset,MeanAbnormalReturn,MeanCAR,Events
Strong Negative,-5,0.0003627236531083191,0.0003627236531083191,122
Strong Negative,-4,-0.0014167785488740225,-0.0010540548957657034,122
Strong Negative,-3,0.0009615504773024396,-9.25044184632637e-05,122
Strong Negative,-2,-0.0016703727611193826,-0.0017628771795826464,122
Strong Negative,-1,9.617296884083262e-06,-0.0017532598826985634,122
Strong Negative,0,-0.001702314393274583,-0.003455574275973146,122
Strong Negative,1,-0.0016544522369570445,-0.005110026512930191,122
Strong Negative,2,0.0011689803985223096,-0.003941046114407881,122
Strong Negative,3,-0.0017179902847558309,-0.005659036399163712,122
Strong Negative,4,0.00023193314563975877,-0.005427103253523953,122
Strong Negative,5,-0.0012339600128643572,-0.00666106326638831,122
Strong Positive,-5,-3.027502645026924e-05,-3.027502645026924e-05,121
Strong Positive,-4,0.00033531559055606334,0.0003050405641057944,121
Strong Positive,-3,-0.0012791699556261504,-0.0009741293915203559,121
Strong Positive,-2,0.002883300008914406,0.00190917061739405,121
Strong Positive,-1,-0.002080618062650352,-0.00017144744525630226,121
Strong Positive,0,-2.642830164864792e-05,-0.0001978757469049502,121
Strong Positive,1,-0.0003343396034181639,-0.0005322153503231144,121
Strong Positive,2,-0.0004978138228115119,-0.0010300291731346262,121
Strong Positive,3,0.0006654025341673596,-0.00036462663896726696,121
Strong Positive,4,7.715721032417865e-05,-0.0002874694286430884,121
Strong Positive,5,0.00224840345437575,0.0019609340257326626,121
