Strategy,StrategyReturn,AnnualizedReturn,AnnualizedVolatility,SharpeRatio,MaximumDrawdown,WinRate,Regime
Momentum,-0.24216069835874743,-0.026447034688198312,0.016578529975071584,-1.6082930617420965,-0.24216069835874743,0.17114093959731544,Bear Trend
Sentiment + Momentum,-0.008709451606230711,-0.0008452104400580307,0.005795340451812244,-0.14300956930306652,-0.014891334151177604,0.29545454545454547,Bear Trend
Adaptive Risk,-0.18773033948264617,-0.019897789260663212,0.01199564738103603,-1.6693790799904729,-0.18773033948264617,0.17,Bear Trend
Momentum,0.029111376686615342,0.0026699716020339714,0.1236210860696868,0.08362240566238702,-0.250103518843101,0.4996069182389937,Bull Trend
Sentiment + Momentum,-0.03683006566000857,-0.003480803151347467,0.006862506691473044,-0.5046274470599686,-0.03683006566000857,0.0,Bull Trend
Adaptive Risk,-0.0853181629026909,-0.008252304851788406,0.09204605426775105,-0.04386579662599831,-0.2197820528205292,0.4996053670086819,Bull Trend
Momentum,1.9834008523918119,0.10380549385871274,0.230756261325249,0.5438055744018969,-0.4044933478385352,0.46277372262773725,High Volatility
Sentiment + Momentum,-0.0073352055072545275,-0.000664993775280065,0.009343673608810103,-0.0665448582921219,-0.024323939513402837,0.22807017543859648,High Volatility
Adaptive Risk,-0.016649917257962388,-0.0015159174078132054,0.08495891586620481,0.0253765788805987,-0.29103148178935967,0.22687224669603523,High Volatility
Momentum,0.0,0.0,0.0,0.0,0.0,0.0,Sideways
Sentiment + Momentum,0.0,0.0,0.0,0.0,0.0,0.0,Sideways
Adaptive Risk,0.0,0.0,0.0,0.0,0.0,0.0,Sideways
